_id,year,division,crime,count,count_cleared,covid_period
1,2022,D32,Property Theft,79,0,Post-COVID
2,2023,D12,Home Invasion,1,0,Post-COVID
4,2021,NSA,Sexual Violation,1,0,Post-COVID
5,2020,D53,Home Invasion,2,0,Post-COVID
6,2017,D43,Home Invasion,1,0,Pre-COVID
7,2023,D22,Property Theft,3,0,Post-COVID
8,2018,D33,Home Invasion,1,0,Pre-COVID
10,2022,D43,Property Theft,2,0,Post-COVID
11,2021,D23,Home Invasion,1,0,Post-COVID
12,2016,D52,Home Invasion,1,0,Pre-COVID
13,2017,D11,Property Theft,1,0,Pre-COVID
14,2017,D42,Property Theft,13,0,Pre-COVID
15,2019,D53,Home Invasion,2,0,Pre-COVID
17,2021,D13,Home Invasion,2,0,Post-COVID
18,2018,D52,Sexual Violation,2,0,Pre-COVID
19,2023,D32,Home Invasion,2,0,Post-COVID
20,2017,D55,Home Invasion,3,0,Pre-COVID
21,2016,NSA,Other,1,0,Pre-COVID
27,2019,D53,Home Invasion,1,0,Pre-COVID
28,2022,D41,Property Theft,5,0,Post-COVID
29,2021,D14,Property Theft,16,0,Post-COVID
30,2020,D22,Home Invasion,3,0,Post-COVID
32,2019,D41,Property Theft,1,0,Pre-COVID
33,2023,D11,Property Theft,2,0,Post-COVID
34,2023,D14,Property Theft,5,0,Post-COVID
35,2021,D23,Property Theft,21,0,Post-COVID
36,2023,D32,Other,2,0,Post-COVID
37,2022,D55,Property Theft,3,0,Post-COVID
38,2020,D23,Home Invasion,1,0,Post-COVID
39,2023,D32,Property Theft,2,0,Post-COVID
41,2019,D33,Property Theft,10,0,Pre-COVID
42,2017,NSA,Property Theft,1,0,Pre-COVID
44,2017,D33,Home Invasion,9,0,Pre-COVID
45,2020,D53,Property Theft,15,0,Post-COVID
47,2017,D31,Home Invasion,1,0,Pre-COVID
48,2021,D55,Robbery-Other,3,0,Post-COVID
49,2019,D32,Robbery-Other,3,0,Pre-COVID
50,2019,D42,Home Invasion,5,0,Pre-COVID
51,2017,D31,Home Invasion,1,0,Pre-COVID
52,2019,D23,Home Invasion,3,0,Pre-COVID
53,2021,D23,Fraud,1,0,Post-COVID
54,2022,D23,Fraud,5,0,Post-COVID
56,2021,D32,Property Theft,61,0,Post-COVID
58,2022,D11,Other Criminal Violations - Offensive Weapons,1,0,Post-COVID
60,2017,D32,Property Theft,12,0,Pre-COVID
61,2022,D42,Home Invasion,9,0,Post-COVID
62,2022,D41,Property Theft,4,0,Post-COVID
63,2022,D13,Sexual Violation,1,0,Post-COVID
64,2021,D51,Property Theft,1,0,Post-COVID
65,2017,D53,Home Invasion,1,0,Pre-COVID
66,2016,D31,Property Theft,1,0,Pre-COVID
68,2020,D55,Home Invasion,12,0,Post-COVID
69,2021,D22,Other,3,0,Post-COVID
70,2021,D42,Home Invasion,2,0,Post-COVID
