report_year,division,crime_type,cleared
2022,D23,Sexual Assault,0
2022,D55,Theft,1
2018,D55,Fraud,1
2021,D41,Attempted Murder,0
2018,D53,Other,1
2017,D13,Break and Enter,1
2017,D42,Attempted Murder,1
2021,D13,Other,1
2018,D52,Sexual Assault,0
2020,D11,Attempted Murder,1
2019,D32,Fraud,1
2021,D11,Theft,1
2021,D55,Break and Enter,0
2016,D42,Other,0
2017,D14,Other,0
2018,D32,Assault,1
2023,D43,Assault,1
2020,D51,Fraud,1
2018,D41,Break and Enter,0
2018,D41,Other,0
2016,D32,Attempted Murder,0
2019,D43,Attempted Murder,0
2016,D31,Theft,1
2016,D12,Fraud,1
2020,D11,Break and Enter,0
2018,D14,Break and Enter,1
2023,D42,Theft,0
2017,D33,Theft,1
2022,D22,Assault,0
2017,D42,Fraud,1
2016,D43,Theft,1
2021,D32,Theft,0
2018,D12,Sexual Assault,0
2019,D22,Other,1
2021,D51,Break and Enter,0
2016,D12,Other,1
2018,D23,Fraud,0
2022,D41,Other,1
2020,D41,Other,0
2019,D33,Theft,0
2022,D42,Theft,1
2023,D31,Assault,0
2017,D23,Assault,0
2020,D55,Assault,1
2022,D43,Sexual Assault,0
2016,D13,Sexual Assault,1
2016,D42,Assault,1
2017,D32,Assault,1
2022,D55,Other,1
2018,D42,Theft,1
2019,D52,Sexual Assault,1
2020,D31,Theft,0
2022,D14,Theft,1
2020,D32,Assault,0
2018,D43,Attempted Murder,0
2023,D13,Sexual Assault,1
2021,D52,Fraud,0
2016,D32,Fraud,0
2017,D23,Attempted Murder,0
2020,D14,Theft,0
2020,D31,Theft,1
2023,D41,Break and Enter,0
2019,D55,Fraud,0
2022,D42,Sexual Assault,0
2020,D32,Attempted Murder,1
2017,D52,Fraud,1
2016,D55,Sexual Assault,1
2016,D14,Break and Enter,0
2018,D41,Theft,1
2016,D33,Assault,0
2021,D23,Fraud,0
2020,D13,Sexual Assault,0
2022,D14,Attempted Murder,1
2016,D33,Sexual Assault,0
2022,D33,Sexual Assault,0
2017,D14,Other,0
2019,D53,Assault,1
2022,D14,Fraud,1
2023,D23,Other,1
2019,D22,Fraud,0
2021,D11,Other,1
2021,D32,Theft,1
2018,D31,Other,1
2023,D53,Theft,0
2021,D43,Other,1
2021,D53,Theft,0
2022,D22,Other,1
2022,D52,Theft,0
2023,D23,Theft,0
2016,D53,Fraud,1
2021,D53,Attempted Murder,1
2017,D55,Break and Enter,0
2016,D13,Other,0
2017,D32,Break and Enter,1
2019,D53,Other,0
2020,D41,Attempted Murder,1
2020,D22,Break and Enter,1
2021,D31,Break and Enter,1
2022,D14,Fraud,0
2018,D55,Break and Enter,0
2016,D43,Theft,1
2019,D52,Fraud,0
2021,D55,Assault,1
2016,D33,Assault,0
2023,D42,Fraud,0
2021,D42,Assault,0
2016,D13,Theft,0
2022,D52,Attempted Murder,1
2018,D51,Attempted Murder,1
2023,D41,Fraud,0
2023,D31,Assault,0
2021,D51,Other,1
2019,D12,Fraud,1
2022,D33,Attempted Murder,1
2016,D52,Assault,0
2021,D23,Sexual Assault,0
2021,D14,Other,0
2023,D53,Other,0
2018,D52,Other,1
2021,D52,Other,1
2020,D23,Other,1
2023,D12,Other,0
2022,D12,Break and Enter,0
2018,D32,Sexual Assault,0
2022,D32,Assault,0
2021,D42,Sexual Assault,0
2017,D22,Break and Enter,1
2022,D33,Break and Enter,1
2020,D31,Attempted Murder,0
2020,D13,Break and Enter,1
2023,D31,Theft,1
2018,D32,Theft,0
2017,D42,Assault,0
2017,D41,Other,0
2017,D22,Other,1
2019,D11,Break and Enter,0
2017,D31,Attempted Murder,0
2017,D23,Theft,0
2021,D32,Break and Enter,1
2022,D14,Fraud,1
2019,D23,Fraud,1
2019,D55,Attempted Murder,0
2021,D53,Break and Enter,1
2016,D43,Assault,0
2021,D55,Fraud,0
2021,D11,Attempted Murder,0
2021,D13,Sexual Assault,0
2018,D43,Other,1
2023,D53,Theft,0
2021,D14,Attempted Murder,1
2018,D11,Assault,0
2021,D22,Theft,1
2022,D42,Attempted Murder,1
2023,D53,Theft,0
2016,D14,Break and Enter,1
2022,D12,Break and Enter,0
2018,D52,Fraud,1
2022,D55,Sexual Assault,1
2020,D53,Sexual Assault,0
2022,D52,Other,1
2022,D31,Break and Enter,1
2017,D13,Assault,0
2021,D41,Theft,0
2021,D13,Fraud,0
2022,D42,Fraud,1
2023,D11,Attempted Murder,0
2022,D31,Theft,0
2018,D51,Sexual Assault,0
2017,D23,Assault,1
2020,D43,Other,0
2021,D14,Other,0
2023,D22,Break and Enter,1
2023,D31,Assault,1
2023,D13,Fraud,1
2020,D12,Sexual Assault,0
2022,D32,Sexual Assault,0
2018,D14,Assault,0
2019,D23,Attempted Murder,1
2019,D51,Sexual Assault,0
2021,D41,Break and Enter,0
2019,D31,Sexual Assault,0
2020,D42,Assault,0
2018,D42,Sexual Assault,0
2016,D23,Sexual Assault,1
2022,D11,Sexual Assault,0
2021,D23,Fraud,1
2017,D32,Other,1
2016,D13,Assault,0
2022,D12,Sexual Assault,0
2017,D42,Sexual Assault,1
2023,D55,Other,1
2020,D13,Assault,1
2018,D11,Assault,1
2023,D52,Attempted Murder,0
2019,D12,Attempted Murder,0
2022,D12,Fraud,1
2022,D55,Other,0
